p3,p5,p6,sum_pk_after_p6
6,0,2,3
0,3,1,3
0,30,0,9
0,30,0,9
0,31,0,8
1,6,1,3
0,30,0,9
0,30,0,9
0,30,0,9
0,30,0,9
0,30,0,9
1,6,3,7
0,30,0,9
0,30,0,9
8,0,0,6
0,30,0,9
0,30,0,9
0,30,0,9
0,31,0,8
0,29,0,10
0,30,0,9
0,30,0,9
0,31,0,8
0,29,0,10
0,31,0,8
0,36,0,5
40,0,0,24
0,30,0,9
0,30,0,9
0,31,0,8
7,0,0,6
0,28,0,8
0,31,0,8
0,30,0,9
0,31,0,8
0,21,0,4
0,27,0,7
0,18,0,4
0,31,0,8
0,31,0,8
0,32,0,8
0,28,6,5
0,24,11,5
0,28,0,8
0,16,0,3
0,31,0,8
0,30,0,9
0,11,0,5
0,15,0,4
0,18,3,3
0,29,0,7
0,30,0,9
0,30,0,9
0,30,0,9
0,30,0,9
0,29,0,7
0,29,0,7
0,0,20,12
0,31,0,8
0,31,0,8
0,30,0,9
0,30,0,9
0,30,0,9
0,31,0,8
0,0,8,6
0,31,0,8
0,30,0,9
0,30,0,9
0,29,0,10
0,30,0,9
0,30,0,9
0,29,0,10
0,30,0,9
0,22,15,4
0,29,0,10
0,29,0,10
0,30,0,9
0,34,0,14
0,29,0,10
0,30,0,9
0,30,0,9
0,0,1,9
0,25,10,5
0,25,11,4
1,6,1,3
0,30,0,9
0,31,0,8
0,29,0,10
5,2,0,4
20,0,0,12
0,31,0,8
0,29,0,10
0,22,15,4
0,23,11,3
0,26,6,4
0,23,14,4
0,30,0,9
0,30,0,9
5,2,1,3
0,30,0,9
0,29,0,10
0,31,0,8
0,30,0,9
0,30,0,9
0,30,0,9
0,31,0,8
0,31,0,8
0,29,0,10
0,29,0,10
0,31,0,8
0,31,0,8
0,30,0,9
0,30,0,9
0,30,0,9
0,30,0,9
0,30,0,9
0,31,0,8
0,31,0,8
0,31,0,8
8,0,0,6
1,12,1,14
0,29,8,23
0,16,5,20
2,81,20,84
0,40,6,36
1,7,3,8
1,63,17,54
1,15,3,19
0,20,4,28
0,45,11,31
1,36,11,29
1,14,5,21
1,14,2,12
1,55,21,56
1,21,9,30
1,4,0,8
0,30,4,30
1,9,4,8
1,25,15,24
1,28,17,36
0,36,22,34
1,10,6,10
0,26,16,20
1,17,9,12
0,4,5,9
1,18,11,11
1,11,4,6
1,2,2,4
1,26,22,26
0,15,1,13
1,6,5,14
1,26,3,28
0,15,9,8
1,3,4,8
0,21,15,15
1,24,16,36
1,10,9,7
1,7,6,17
0,10,0,9
1,15,2,8
1,4,5,10
1,2,4,7
1,3,7,5
2,6,2,3
0,17,11,9
1,10,18,16
0,10,9,6
2,3,5,3
0,17,15,17
1,12,14,11
1,2,6,4
1,16,8,8
1,13,9,6
